,conditions,direction,n,avg_ret,wr,sharpe,oos_sh,wf,coin,score
60,FUND_P5+FUND_RISING+TREND_UP,SHORT,20,2.691,100.0,45.26,48.92,0,OPUSDT,33.146
61,FUND_P99+OI_UP+VOL_HIGH,SHORT,25,2.471,92.0,28.39,56.88,0,OPUSDT,31.269000000000002
80,FUND_P1+FUND_POS+CVD_UP,SHORT,35,2.206,91.4,33.4,41.32,0,AVAXUSDT,26.548000000000002
81,FUND_P1+FUND_POS+PRICE_UP,SHORT,28,2.316,89.3,32.44,41.38,0,AVAXUSDT,26.284000000000002
82,FUND_P1+FUND_POS+TREND_UP,SHORT,35,2.135,91.4,31.68,41.38,0,AVAXUSDT,26.056000000000004
70,FUND_P1+OI_DOWN+VOL_HIGH,LONG,24,3.977,87.5,32.98,33.77,0,LINKUSDT,23.402
50,FUND_P5+FUND_POS+FUND_RISING,SHORT,27,6.523,92.6,31.4,31.4,0,ARBUSDT,21.98
30,FUND_P5+FUND_RISING+PRICE_DOWN,LONG,58,1.727,81.0,25.96,28.59,4,BNBUSDT,20.424
40,FUND_P5+FUND_RISING+PRICE_DOWN,LONG,40,1.902,92.5,29.23,26.46,3,XRPUSDT,20.253
0,FUND_P99+PRICE_DOWN+TREND_DOWN,LONG,35,2.039,80.0,19.7,35.36,0,BTCUSDT,20.054
90,FUND_P5+FUND_POS+FUND_RISING,SHORT,37,2.359,78.4,25.94,30.07,0,DOGEUSDT,19.810000000000002
2,FUND_P99+PRICE_DOWN,LONG,36,1.926,77.8,18.34,35.36,0,BTCUSDT,19.646
3,FUND_P99+FUND_POS+PRICE_DOWN,LONG,36,1.926,77.8,18.34,35.36,0,BTCUSDT,19.646
4,FUND_P95+FUND_P99+PRICE_DOWN,LONG,36,1.926,77.8,18.34,35.36,0,BTCUSDT,19.646
5,FUND_P99+FUND_RISING+PRICE_DOWN,LONG,36,1.926,77.8,18.34,35.36,0,BTCUSDT,19.646
1,FUND_P99+CVD_DOWN+PRICE_DOWN,LONG,36,1.926,77.8,18.34,35.36,0,BTCUSDT,19.646
6,FUND_P95+OI_DOWN+PRICE_DOWN,LONG,53,1.593,75.5,19.77,30.87,3,BTCUSDT,19.179
31,FUND_P5+FUND_RISING+TREND_DOWN,LONG,115,1.374,84.3,22.56,26.74,4,BNBUSDT,18.663999999999998
71,FUND_P99+OI_DOWN+PRICE_UP,SHORT,25,2.155,80.0,16.24,34.15,0,LINKUSDT,18.532
74,FUND_P95+FUND_P99+PRICE_DOWN,SHORT,28,1.179,64.3,11.2,37.56,0,LINKUSDT,18.384
73,FUND_P99+FUND_RISING+PRICE_DOWN,SHORT,28,1.179,64.3,11.2,37.56,0,LINKUSDT,18.384
75,FUND_P99+FUND_POS+PRICE_DOWN,SHORT,28,1.179,64.3,11.2,37.56,0,LINKUSDT,18.384
72,FUND_P99+PRICE_DOWN,SHORT,28,1.179,64.3,11.2,37.56,0,LINKUSDT,18.384
76,FUND_P99+CVD_DOWN+PRICE_DOWN,SHORT,28,1.179,64.3,11.2,37.56,0,LINKUSDT,18.384
83,FUND_P1+OI_UP+TREND_UP,SHORT,48,1.783,81.2,13.46,32.83,4,AVAXUSDT,18.37
32,FUND_P99+OI_UP+VOL_HIGH,SHORT,23,0.976,87.0,22.17,29.02,0,BNBUSDT,18.259
20,CVD_DOWN+PRICE_UP+TREND_DOWN,SHORT,22,1.56,86.4,7.93,39.47,0,SOLUSDT,18.167
41,FUND_P5+FUND_RISING+TREND_DOWN,LONG,68,1.448,86.8,24.06,25.03,3,XRPUSDT,18.13
